ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
200,28.3116,0.654631,0.767624,0.767624,0.735381,-0.00779414,-0.00779414,0.73984,-0.0748321,-0.0748321,0.654631,0.837492,0.837492,0,All,#4682B4,0
200,28.6655,0.654631,-1.09938,-1.09938,0.735381,-2.5122,-2.5122,0.73984,-2.57924,-2.57924,0.654631,-1.10912,-1.10912,0,All,#4682B4,0
200,29.0194,0.654631,-0.642397,-0.642397,0.735381,-2.03738,-2.03738,0.73984,-2.10442,-2.10442,0.654631,-0.628343,-0.628343,0,All,#4682B4,0
200,29.3733,0.654631,1.07435,1.07435,0.735381,0.336123,0.336123,0.73984,0.269085,0.269085,0.654631,1.10255,1.10255,0,All,#4682B4,0
200,29.7272,0.654631,0.630314,0.630314,0.735381,-0.321937,-0.321937,0.73984,-0.388975,-0.388975,0.654631,0.65598,0.65598,0,All,#4682B4,0
200,30.0811,0.654631,-0.429845,-0.429845,0.735381,-1.69129,-1.69129,0.73984,-1.75833,-1.75833,0.654631,-0.402209,-0.402209,0,All,#4682B4,0
200,30.435,0.654631,0.706818,0.706818,0.735381,-0.224686,-0.224686,0.73984,-0.291724,-0.291724,0.654631,0.763831,0.763831,0,All,#4682B4,0
200,30.7889,0.654631,0.631772,0.631772,0.735381,-0.283474,-0.283474,0.73984,-0.350512,-0.350512,0.654631,0.671602,0.671602,0,All,#4682B4,0
200,31.1428,0.654631,-0.511441,-0.511441,0.735381,-1.7883,-1.7883,0.73984,-1.85534,-1.85534,0.654631,-0.477079,-0.477079,0,All,#4682B4,0
200,31.4966,0.654631,-0.763286,-0.763286,0.735381,-2.20507,-2.20507,0.73984,-2.27211,-2.27211,0.654631,-0.722874,-0.722874,0,All,#4682B4,0
201,0,0.463749,1.41965,1.41965,0.537445,0.612326,0.612326,0.531727,0.698294,0.698294,0.463749,1.49536,1.49536,0,All,#4682B4,0
201,0.3539,0.621834,1.05655,1.05655,0.70164,0.301958,0.301958,0.699841,0.329,0.329,0.621834,1.13275,1.13275,0,All,#4682B4,0
201,0.7078,0.648996,0.563722,0.563722,0.73267,-0.453829,-0.453829,0.733904,-0.47239,-0.47239,0.648996,0.588152,0.588152,0,All,#4682B4,0
201,1.0617,0.653663,0.303694,0.303694,0.738534,-0.759674,-0.759674,0.740806,-0.793837,-0.793837,0.653663,0.3125,0.3125,0,All,#4682B4,0
201,1.4156,0.654465,1.02597,1.02597,0.739643,0.163178,0.163178,0.742205,0.124651,0.124651,0.654465,1.06739,1.06739,0,All,#4682B4,0
201,1.7695,0.654602,1.11686,1.11686,0.739852,0.414797,0.414797,0.742488,0.37516,0.37516,0.654602,1.06287,1.06287,0,All,#4682B4,0
201,2.1234,0.654626,1.09064,1.09064,0.739892,0.342496,0.342496,0.742546,0.30259,0.30259,0.654626,1.08685,1.08685,0,All,#4682B4,0
201,2.4773,0.65463,1.25831,1.25831,0.739899,0.526102,0.526102,0.742557,0.486134,0.486134,0.65463,1.21369,1.21369,0,All,#4682B4,0
201,2.8312,0.654631,0.941007,0.941007,0.7399,0.207539,0.207539,0.74256,0.167556,0.167556,0.654631,1.04497,1.04497,0,All,#4682B4,0
201,3.1851,0.654631,1.81381,1.81381,0.739901,1.34452,1.34452,0.74256,1.30453,1.30453,0.654631,1.67235,1.67235,0,All,#4682B4,0
