A1_vs_I0_abscissa,A1_vs_I0_spline,A1_vs_I0_regression,A1_vs_tau1_abscissa,A1_vs_tau1_spline,A1_vs_tau1_regression,I0_vs_A1_abscissa,I0_vs_A1_spline,I0_vs_A1_regression,I0_vs_tau1_abscissa,I0_vs_tau1_spline,I0_vs_tau1_regression,tau1_vs_A1_abscissa,tau1_vs_A1_spline,tau1_vs_A1_regression,tau1_vs_I0_abscissa,tau1_vs_I0_spline,tau1_vs_I0_regression
-0.220464,-0.106601,-0.051558,-0.473733,0.475306,0.477165,-0.335109,-0.0590132,-0.00944382,-0.473733,0.0108614,0.0226852,-0.335109,0.332617,0.331996,-0.220464,0.109824,0.0530304
-0.21467,-0.0958711,-0.0504199,-0.459894,0.461757,0.463239,-0.321315,-0.0535215,-0.00890959,-0.459894,0.00949784,0.0221266,-0.321315,0.31857,0.31835,-0.21467,0.0984168,0.0518644
-0.208876,-0.0865205,-0.0492818,-0.446055,0.448191,0.449313,-0.307522,-0.0431705,-0.00837536,-0.446055,0.00827391,0.021568,-0.307522,0.304451,0.304704,-0.208876,0.088375,0.0506983
-0.203083,-0.0788741,-0.0481437,-0.432216,0.434603,0.435387,-0.293728,-0.0317687,-0.00784113,-0.432216,0.00717978,0.0210094,-0.293728,0.29057,0.291058,-0.203083,0.0800315,0.0495322
-0.197289,-0.0726007,-0.0470056,-0.418377,0.42099,0.42146,-0.279934,-0.0225558,-0.0073069,-0.418377,0.00624343,0.0204508,-0.279934,0.277173,0.277412,-0.197289,0.0730619,0.0483661
-0.191495,-0.0698064,-0.0458675,-0.404538,0.407328,0.407534,-0.266141,-0.0159507,-0.00677267,-0.404538,0.00557366,0.0198922,-0.266141,0.264092,0.263766,-0.191495,0.069596,0.0472001
-0.185701,-0.0672859,-0.0447294,-0.3907,0.393609,0.393608,-0.252347,-0.0111609,-0.00623844,-0.3907,0.0052146,0.0193336,-0.252347,0.250984,0.25012,-0.185701,0.0664069,0.046034
-0.179908,-0.0684576,-0.0435913,-0.376861,0.379857,0.379682,-0.238553,-0.00739347,-0.00570422,-0.376861,0.00502486,0.018775,-0.238553,0.237511,0.236474,-0.179908,0.0669541,0.0448679
-0.174114,-0.0730626,-0.0424532,-0.363022,0.366038,0.365756,-0.22476,-0.00390903,-0.00516999,-0.363022,0.0051828,0.0182164,-0.22476,0.223363,0.222828,-0.174114,0.0710314,0.0437018
-0.16832,-0.0784109,-0.0413151,-0.349183,0.352152,0.351829,-0.210966,-0.000546374,-0.00463576,-0.349183,0.0056783,0.0176578,-0.210966,0.208617,0.209182,-0.16832,0.0758783,0.0425358
-0.162527,-0.0843974,-0.040177,-0.335344,0.338196,0.337903,-0.197172,0.00225595,-0.00410153,-0.335344,0.00641305,0.0170992,-0.197172,0.193793,0.195536,-0.162527,0.0814642,0.0413697
-0.156733,-0.0905343,-0.0390388,-0.321505,0.324188,0.323977,-0.183379,0.00416027,-0.0035673,-0.321505,0.00694296,0.0165406,-0.183379,0.179419,0.18189,-0.156733,0.0874314,0.0402036
-0.150939,-0.0950477,-0.0379007,-0.307666,0.310149,0.310051,-0.169585,0.00651446,-0.00303307,-0.307666,0.0067964,0.015982,-0.169585,0.165528,0.168244,-0.150939,0.0920281,0.0390375
-0.145146,-0.096785,-0.0367626,-0.293827,0.296098,0.296124,-0.155792,0.0121241,-0.00249884,-0.293827,0.0054147,0.0154234,-0.155792,0.152038,0.154598,-0.145146,0.0941456,0.0378714
