standEta_A1_abscissa,standEta_A1_cdf,standEta_tau1_abscissa,standEta_tau1_cdf,standEta_I0_abscissa,standEta_I0_cdf,split
-0.120391,0.465909,-0.0876108,0.465909,0.0122616,0.465909,All
-0.118249,0.467803,-0.0842316,0.467803,0.0170187,0.467803,All
-0.116216,0.469697,-0.0696989,0.469697,0.0280766,0.469697,All
-0.115551,0.471591,-0.0646322,0.471591,0.0341104,0.471591,All
-0.11554,0.473485,-0.0573755,0.473485,0.0522489,0.473485,All
-0.111884,0.475379,-0.0487345,0.475379,0.0536345,0.475379,All
-0.110592,0.477273,-0.0485858,0.477273,0.0537078,0.477273,All
-0.0855384,0.479167,-0.0428809,0.479167,0.054492,0.479167,All
-0.0850443,0.481061,-0.0357731,0.481061,0.0555399,0.481061,All
-0.084396,0.482955,-0.0322969,0.482955,0.0582965,0.482955,All
-0.0839847,0.484848,-0.0218077,0.484848,0.0596961,0.484848,All
-0.0838815,0.486742,-0.0191353,0.486742,0.0704058,0.486742,All
-0.0804496,0.488636,-0.00973601,0.488636,0.0716208,0.488636,All
-0.0774478,0.49053,-0.00574989,0.49053,0.0728382,0.49053,All
-0.0754856,0.492424,-0.00146042,0.492424,0.0818324,0.492424,All
-0.0680931,0.494318,0.00968044,0.494318,0.0820904,0.494318,All
-0.0446289,0.496212,0.0156067,0.496212,0.0852111,0.496212,All
-0.0298363,0.498106,0.0171554,0.498106,0.0896082,0.498106,All
-0.0250801,0.5,0.0184897,0.5,0.0938468,0.5,All
0.0192984,0.501894,0.0186331,0.501894,0.0953898,0.501894,All
0.0207385,0.503788,0.0291511,0.503788,0.095914,0.503788,All
0.0254165,0.505682,0.0345036,0.505682,0.105434,0.505682,All
0.030964,0.507576,0.0395177,0.507576,0.105457,0.507576,All
0.0316864,0.50947,0.0459413,0.50947,0.10747,0.50947,All
0.0379368,0.511364,0.0509856,0.511364,0.112318,0.511364,All
0.0424401,0.513258,0.0587338,0.513258,0.115383,0.513258,All
0.0456964,0.515152,0.0693188,0.515152,0.119575,0.515152,All
0.0468912,0.517045,0.0824945,0.517045,0.123577,0.517045,All
0.0477543,0.518939,0.0889355,0.518939,0.124196,0.518939,All
0.0513104,0.520833,0.0945644,0.520833,0.125081,0.520833,All
0.0551206,0.522727,0.0950022,0.522727,0.128801,0.522727,All
0.055159,0.524621,0.095665,0.524621,0.132491,0.524621,All
0.0579063,0.526515,0.0980201,0.526515,0.141829,0.526515,All
0.0673157,0.528409,0.0993414,0.528409,0.14218,0.528409,All
0.0711931,0.530303,0.108264,0.530303,0.142592,0.530303,All
0.0755519,0.532197,0.110175,0.532197,0.148858,0.532197,All
0.0810032,0.534091,0.121718,0.534091,0.149419,0.534091,All
0.0818882,0.535985,0.125949,0.535985,0.151074,0.535985,All
0.087794,0.537879,0.12664,0.537879,0.155356,0.537879,All
0.0918909,0.539773,0.129427,0.539773,0.163099,0.539773,All
0.0944058,0.541667,0.139958,0.541667,0.167635,0.541667,All
0.101303,0.543561,0.141486,0.543561,0.168775,0.543561,All
0.107704,0.545455,0.145848,0.545455,0.177057,0.545455,All
0.120339,0.547348,0.152614,0.547348,0.179641,0.547348,All
0.128689,0.549242,0.159724,0.549242,0.180713,0.549242,All
0.130304,0.551136,0.162335,0.551136,0.182235,0.551136,All
0.139365,0.55303,0.16404,0.55303,0.188454,0.55303,All
0.143817,0.554924,0.169024,0.554924,0.18865,0.554924,All
0.147322,0.556818,0.174899,0.556818,0.189314,0.556818,All
0.147397,0.558712,0.179099,0.558712,0.190779,0.558712,All
0.152691,0.560606,0.180201,0.560606,0.194486,0.560606,All
0.160023,0.5625,0.19131,0.5625,0.194565,0.5625,All
0.160409,0.564394,0.198508,0.564394,0.194641,0.564394,All
0.17017,0.566288,0.200985,0.566288,0.200388,0.566288,All
0.173862,0.568182,0.203117,0.568182,0.209642,0.568182,All
0.17536,0.570076,0.208902,0.570076,0.212711,0.570076,All
0.177763,0.57197,0.210808,0.57197,0.216553,0.57197,All
0.177861,0.573864,0.218242,0.573864,0.220002,0.573864,All
0.183683,0.575758,0.233581,0.575758,0.220053,0.575758,All
0.19463,0.577652,0.240209,0.577652,0.221398,0.577652,All
0.196684,0.579545,0.248347,0.579545,0.222925,0.579545,All
0.197629,0.581439,0.250933,0.581439,0.230907,0.581439,All
